Bureau Number,Primary Name,Sources (EE),Sources (Revenue),Sources (POCs)
357171,DESERT HAVEN ENTERPRISES A NON PROFIT,"1. https://rocketreach.co/desert-haven-enterprises-inc-profile_b5acb725f9e5b7c3
2. https://www.zippia.com/desert-haven-enterprises-careers-21292/demographics/
3. https://www.zoominfo.com/c/desert-haven-enterprises-inc/1153836915
4. https://projects.propublica.org/nonprofits/organizations/956006073
5. https://www.deserthaven.org/userfiles/files/DHE%20Desert%20Enterprise%20newsletter%202nd%20half%2023%2024%20printable%20version.pdf
6. https://lancasterconnect.com/desert-haven-enterprises/
7. https://www.causeiq.com/organizations/desert-haven-enterprises,956006073/
8. https://www.deserthaven.org/annual-reports.html
9. https://www.deserthaven.org/community-based-employment-services.html","1. https://projects.propublica.org/nonprofits/organizations/956006073
2. https://www.deserthaven.org/about-desert-haven-enterprises.html
3. https://www.causeiq.com/organizations/desert-haven-enterprises,956006073/
4. https://www.deserthaven.org/contact.php
5. https://www.deserthaven.org/accreditations-certifications-licenses-and-vendorization.html
6. http://www.deserthaven.org/index.php
7. https://www.guidestar.org/profile/95-6006073
8. https://www.mapquest.com/us/california/desert-haven-enterprises-inc-374836871
9. https://www.deserthaven.org"",
10. https://www.deserthaven.org
11. https://projects.propublica.org/nonprofits/organizations/956006073"",
12. https://www.deserthaven.org/about-desert-haven-enterprises.html"",
13. https://www.deserthaven.org/contact.php"",
14. https://www.causeiq.com/organizations/desert-haven-enterprises,956006073/"",
15. https://www.guidestar.org/profile/95-6006073""",
3491360,RYAN RANCH CHILDREN'S CENTER (DBA),"1. https://rocketreach.co/childrens-center-management_b44cf97bfd50d110
2. https://www.indeed.com/cmp/Ryan-Ranch-Children's-Center
3. https://www.montereybayparent.com/monterey-bay-parent-family-favorites-directory/
4. https://www.daycare.com/profile/california/monterey/ryan-ranch-children-s-center-pre-school
5. https://csumb.edu/media/csumb/legacy/legacy-site-images/section-editors/human-resources/YMWCzrwJShi1wh2pOSAe_st-block-74-1461345529458-raw-uprecruitmentresourceguide.pdf
6. https://www.countyofmonterey.gov/government/departments-a-h/human-resources/human-resources/find-a-job
7. https://www.montagehealth.org",,
5371587,"PRECAST INNOVATIONS, INC.","1. https://www.zoominfo.com/pic/precast-innovations-inc/358948371
2. https://www.zoominfo.com/c/precast-innovations-inc/358948371
3. https://rocketreach.co/precast-innovations-inc-profile_b5e11a0bf42e69d4
4. https://www.zoominfo.com/c/pre-castinnovationscom/1237083215
5. https://www.nj.gov/cgi-bin/transportation/database/viewdb.pl?database=ASPHALT_CONCRETE_PLANTS&action=view&fields=2%2C4&select=AND%3B%3B0%3B%3BEQ%3B%3BAPPROVED+CONCRETE+PLANTS+&sort=2&URL=%2Ftransportation%2Feng%2Fmaterials%2Fqualified%2FQPLDB.shtm","1. https://www.bbb.org/us/ca/orange/profile/mason-contractors/precast-innovations-inc-1126-100090474
2. https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2852171
3. https://www.procore.com/network/p/precast-innovations-inc-orange
4. https://rocketreach.co/precast-innovations-inc-profile_b5e11a0bf42e69d4
5. https://www.thebluebook.com/iProView/792826/precast-innovations-inc/manufacturers/
6. https://precastinnovations.com
7. https://www.buildzoom.com/contractor/precast-innovations-inc
8. https://www.zoominfo.com/c/precast-innovations-inc/358948371
9. https://precastinnovations.com"",
10. https://www.bbb.org/us/ca/orange/profile/mason-contractors/precast-innovations-inc-1126-100090474"",
11. https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2852171"",
12. https://rocketreach.co/precast-innovations-inc-profile_b5e11a0bf42e69d4"",
13. https://www.thebluebook.com/iProView/792826/precast-innovations-inc/manufacturers/"",
14. https://www.zoominfo.com/c/precast-innovations-inc/358948371""",
8766106,"LOVE PEACE AND OSTRICHES, INC.","1. https://www.ostrichlandusa.com/visit
2. https://vertpaleo.org/wp-content/uploads/2021/03/SVP-2017-program-book-v6-Print-Ready-with-front-cover.pdf
3. https://darwin-online.org.uk/content/frameset?pageseq=203&itemID=A268&viewtype=side
4. http://www.library.uc.edu.kh/userfiles/pdf/40.Subject%20headings%20for%20school%20and%20public%20libraries%20an%20LCSH.pdf
5. http://www.versedaily.org/archives3.shtml
6. ftp://ftp.cs.princeton.edu/pub/cs226/autocomplete/bing.txt",,
9650695,(DBA) HARBOR HEIGHTS ASSISTED LIVING & MEMORY CARE,"1. https://www.indeed.com/cmp/Harbor-Heights-Assisted-Living-&-Memory-Care/locations/CA/Anaheim
2. https://www.aplaceformom.com/community/harbor-heights-96469
3. https://olera.care/provider/harbor-heights
4. https://seniorcarefinder.com/providers/42476/ca/anaheim/harbor-heights
5. https://www.seniorly.com/assisted-living/california/anaheim/la-palma-royale
6. https://www.caring.com/senior-living/california/anaheim/harbor-heights
7. https://www.project-access.org/our-programs/resource-centers/
8. https://milestoneretirement.com/senior-living/ca/anaheim/harbor-heights/financial-resources-harbor-heights/",,
9859311,CHASE WORLDWIDE (DBA),"1. https://www.congress.gov/119/meeting/house/118889/documents/BILLS-1194ih.pdf
2. https://www.zoominfo.com/c/chase-worldwide/398943634
3. https://businessbranch.chase.com/ca/gardena/business/cbcb-Branch-5319
4. https://www.irs.gov/pub/irs-soi/eo_ca.csv
5. https://www.maximhealthcare.com/maxim-healthcare-locations/gardena-ca-regional-office/
6. https://www.gatesfoundation.org/about/committed-grants",,
9999015,D PET HOTEL HOLLYWOOD LLC (AND/OR) EJK PET,"1. https://leadiq.com/c/d-pet-hotels/5a1dc0fe2300005b00c17330
2. https://www.zoominfo.com/c/d-pet-hotels/346022549
3. https://www.simplyhired.com/browse-jobs/companies/D-Pet-Hotels-Hollywood
4. https://www.indeed.com/cmp/D-Pet-Hotels-1
5. https://www.indeed.com/cmp/D-Pet-Hotels-Hollywood
6. https://shakopeedakota.org
7. https://www.tripadvisor.com/Attraction_Review-g298082-d1077858-Reviews-or10-Cham_Island_Diving-Hoi_An_Quang_Nam_Province.html",,
810668,GLENOAKS CONVALESCENT HOSPITAL,"1. https://www.indeed.com/cmp/Glenoaks-Convalescent-Hospital/reviews
2. https://www.ihirenursing.com/orgs/220044/glenoaks-convalescent-hospital
3. https://www.zoominfo.com/pic/sherman-oaks-hospital/247824506
4. https://www.indeed.com/cmp/Glenoaks-Convalescent-Hospital
5. https://nursinghome411.org/wp-content/uploads/2019/11/PBJ-Direct-Care-Staffing-CY-2019Q2.xlsx
6. https://shermanoakshospital.org/services/sub-acute-nursing-care-center/
7. https://www.latimes.com/science/story/2025-06-06/state-suspends-troubled-nursing-home-companys-license",,
2529891,ENRICH ENTERPRISES INC.,"1. https://www.zoominfo.com/c/enrich-inc/462982325
2. https://www.bwxt.com
3. https://www.cdmsmith.com/en/
4. https://ballmergroup.org/our-grants/
5. https://www.masterbrand.com
6. https://sagehospitalitygroup.com",,
2721041,COMMEX CORPORATION,"1. https://www.zoominfo.com/pic/commex-corp/442317675
2. https://www.simplyhired.com/browse-jobs/companies/Commex-Corp
3. https://www.indeed.com/cmp/Commex-Corporation
4. https://www.zoominfo.com/c/commex-corp/442317675
5. https://www.salary.com/research/company/commex-corp-salary
6. https://www.indeed.com/cmp/Commex-Corporation/reviews?fcountry=US&floc=Hayward%2C+CA
7. https://commexcorp.com
8. https://labormarketinfo.edd.ca.gov/aspdotnet/databrowsing/empDetails.aspx?menuChoice=emp&empid=834650087&geogArea=0604000001",,
3340576,"WESTERN SAW MANUFACTURERS, INC. (CORPORATION)","1. https://rocketreach.co/western-saw-inc-profile_b5f79c88f42e8969
2. https://www.zoominfo.com/pic/western-saw-inc/127910048
3. https://www.thomasnet.com/company/western-saw-engineering-10041702/profile
4. https://us.metoree.com/categories/4841/
5. https://www.salary.com/research/company/western-saw-salary
6. https://www.zoominfo.com/c/western-saw-inc/127910048
7. https://www.datanyze.com/companies/western-saw/127910048",,
3556855,MASCORRO LEATHER (A CORP),"1. https://www.zoominfo.com/c/mascorro-leather-inc/442449694
2. https://www.latimes.com/archives/la-xpm-1996-03-27-me-51761-story.html
3. https://www.dnb.com/business-directory/company-profiles.mascorro_leather_inc.73673ec9bee76b196a22cd4a2b9bf3d9.html
4. https://www.zoominfo.com/c/mascon-leather/471196661
5. https://uspto.report/TM/87054822","1. https://www.dnb.com/business-directory/company-profiles.mascorro_leather_inc.73673ec9bee76b196a22cd4a2b9bf3d9.html
2. https://rocketreach.co/mascorro-leather-inc-profile_b5451ee7f9ba39cd
3. https://www.zoominfo.com/c/mascorro-leather-inc/442449694
4. https://www.mapquest.com/us/california/mascorro-leather-10775294
5. https://www.industrynet.com/listing/1726523/mascorro-leather-inc
6. https://www.mascorroleather.com
7. https://thegreaseshop.com/collections/mascorro-leather-1
8. https://www.mascorroleather.com"",
9. https://www.zoominfo.com/c/mascorro-leather-inc/442449694"",
10. https://rocketreach.co/mascorro-leather-inc-profile_b5451ee7f9ba39cd"",
11. https://www.dnb.com/business-directory/company-profiles.mascorro_leather_inc.73673ec9bee76b196a22cd4a2b9bf3d9.html""",
5319703,SUPERIOR EQUIPMENT SOLUTIONS,"1. https://www.zoominfo.com/c/superior-equipment-solutions-inc/92521800
2. https://www.cience.com/company/superior-equipment-solutions/-2242424111815389794
3. https://rocketreach.co/superior-equipment-solutions-management_b44760dafad1a456
4. https://rocketreach.co/superior-equipment-solutions-profile_b44760dafad1a456
5. https://www.zoominfo.com/pic/superior-equipment-solutions/436683228
6. https://www.zoominfo.com/c/superior-equipment-solutions/436683228
7. https://www.dnb.com/business-directory/company-profiles.superior_equipment_solutions.cfbd8503930fbad1f6b95d7a1e344683.html",,
5382633,HOME AGAIN LOS ANGELES A NON PROFIT,"1. https://www.homeagainla.org
2. https://www.burbankchamber.org/product-page/home-again-los-angeles
3. https://projects.propublica.org/nonprofits/organizations/262458342
4. https://www.homeagainla.org/aboutus
5. https://www.causeiq.com/organizations/family-promise-of-the-verdugos,262458342/
6. https://www.guidestar.org/profile/26-2458342
7. https://www.vica.com/list/member/home-again-los-angeles-12891",,
6236363,"COURTESY PATROL SPECIALISTS, INC.","1. https://www.zoominfo.com/c/courtesy-patrol-specialists-inc/371608408
2. https://www.bbb.org/us/ca/tustin/profile/security-guards/courtesy-patrol-specialists-inc-1126-172010327
3. https://www.salary.com/research/company/courtesy-patrol-specialists-inc-salary
4. https://www.courtesypatrolspecialists.com/Courtesy/Home/Municipalities
5. https://courtesypatrolspecialists.com
6. https://www.courtesypatrolspecialists.com/Courtesy/Home/Affiliations",,
6332374,WOMEN'S EMPOWERMENT,"1. https://www.phonebooks.com/business-profile/women-s-empowerment.p52Q92Q9QQv3A
2. https://www.zoominfo.com/c/womens-empowerment/251084842
3. https://www.causeiq.com/organizations/womens-empowerment,030520643/
4. https://projects.propublica.org/nonprofits/organizations/30520643
5. https://www.privco.com/company/womens-empowerment
6. https://www.indeed.com/cmp/Women's-Empowerment",,
6577846,"FUTURE TRANSITIONS, INC.","1. https://www.zoominfo.com/pic/future-transitions-inc/370720049
2. https://www.signalhire.com/overview/future-transitions
3. https://rocketreach.co/future-transitions-management_b4749f4cfc5cc41f
4. https://rocketreach.co/future-transitions-profile_b4749f4cfc5cc41f
5. https://www.zoominfo.com/c/future-transitions-inc/370720049
6. https://www.indeed.com/cmp/Future-Transitions,-Inc.
7. https://futuretransitions.net",,
7795248,"DELICATE COSMETICS, INC.","1. https://rocketreach.co/delicate-cosmetics-inc-management_b45cbed3fc6d36a2
2. https://www.salary.com/research/company/delicate-cosmetics-inc-salary
3. https://www.zoominfo.com/c/delicate-cosmetics/348825891
4. https://rocketreach.co/delicate-cosmetics-inc-profile_b45cbed3fc6d36a2
5. https://www.datanyze.com/companies/delicate-cosmetics/348825891
6. https://www.itape.com/career/
7. https://dat.maryland.gov/businesses/SiteAssets/Pages/default/LIST%20OF%20ENTITIES%20ENTITLED%20FOR%202026%20MARYLAND%20SAVE.pdf
8. https://www.bakermckenzie.com/en/insight/publications/2025/03/new-executive-orders-independent-federal-regulatory-agencies
9. https://www.marriott.com/en-us/hotels/wasgn-gaylord-national-resort-and-convention-center/overview/","1. https://rocketreach.co/delicate-cosmetics-inc-profile_b45cbed3fc6d36a2
2. https://topline.com/companies/delicate-cosmetics-inc
3. https://www.bbb.org/us/ca/sun-valley/profile/wholesale-toiletries/delicate-cosmetics-inc-1216-472062
4. https://www.privco.com/company/delicate-cosmetics
5. https://www.datanyze.com/companies/delicate-cosmetics/348825891
6. https://www.zoominfo.com/c/delicate-cosmetics/348825891
7. https://www.manta.com/c/mml31wx/delicate-cosmetics-inc
8. https://delicatecosmetics.com"",
9. http://delicatecosmetics.com
10. https://rocketreach.co/delicate-cosmetics-inc-profile_b45cbed3fc6d36a2"",
11. https://www.zoominfo.com/c/delicate-cosmetics/348825891"",
12. https://www.manta.com/c/mml31wx/delicate-cosmetics-inc"",
13. https://topline.com/companies/delicate-cosmetics-inc"",
14. https://www.datanyze.com/companies/delicate-cosmetics/348825891""",
8576697,4 KIDS 2 KIDS,"1. https://naicslist.com/company-profile/4-kids-2-kids-ventura-ca-93001
2. https://projects.propublica.org/nonprofits/organizations/274019540
3. https://4k2konline.com/who-we-are
4. https://www.indeed.com/cmp/4-Kids-2-Kids/reviews
5. https://www.causeiq.com/organizations/4-kids-2-kids,274019540/
6. https://www.zoominfo.com/c/4-kids-2-kids/551435268
7. https://4k2konline.com
8. https://www.guidestar.org/profile/27-4019540",,
8877957,"PRIME GLOBAL EXPRESS, INC. (A CORP)","1. https://www.zoominfo.com/c/prime-global-express-inc/482126357
2. https://www.roserocket.com/trucking-company/prime-global-express-inc-usdot-3273255
3. https://rocketreach.co/prime-global-logistics-profile_b5bf6fdef9f191dc
4. https://ncua.gov/support-services/credit-union-resources-expansion/credit-union-merger-resources/comments-proposed-credit-union-mergers",,
9155904,"FUSION METALWORKS, INC.","1. https://www.cience.com/company/fusion-metalworks/-7507723160140674561
2. https://www.zoominfo.com/c/fusion-metalworks/399458006
3. https://www.creditsafe.com/business-index/en-gb/company/fusion-metal-works-us111635356
4. https://www.zoominfo.com/c/fusion-metalworks/363721531
5. https://www.datanyze.com/companies/fusion-metalworks/399458006
6. https://www.dir.ca.gov/databases/dosh-pv/DOSH-PV.ASP?City=&County=&PERM_EXP_D=&RP_Name=ato&State_nbr=&Street_1=&ZIP5=&sortfield=Name
7. https://caom.com/Portals/0/Uploads/AssignedRisk/Depopulation%20Report%20Quarterly/2025/AR%20Depopulation%20Report%2010-2025.pdf",,
9623902,"(DBA) AMERICCARE SILICON VALLEY, INC.","1. https://growjo.com/company/The_Americare_companies
2. https://www.indeed.com/cmp/Americare-Silicon-Valley
3. https://www.zoominfo.com/pic/americare/13570053
4. https://www.truework.com/verifications/companies-industry-health-care-providers-services/
5. https://careers.hireology.com/americare-corporateoffice/2496623/description
6. https://fsapartners.ed.gov/sites/default/files/attachments/eannouncements/0717NumAppsRecbySchoolbySource.xls",,
29024,OCCIDENTAL COLLEGE,"1. https://en.wikipedia.org/wiki/Occidental_College
2. https://www.zoominfo.com/c/occidental-college/40076140
3. https://leadiq.com/c/occidental-college/5a1d8775240000240061730f/employee-directory
4. https://rocketreach.co/occidental-college-profile_b5c49c4df42e0dc4
5. https://www.timeshighereducation.com/world-university-rankings/occidental-college
6. https://www.collegeraptor.com/colleges/rankings/Occidental-College-CA--120254
7. https://www.wscuc.org/institutions/occidental-college/",,
198664,JVS WINES IMPORTS INC,"1. https://www.signalhire.com/companies/jvs-wine-spirit-imports
2. https://www.zoominfo.com/pic/jvs-imports/369941391
3. https://www.salary.com/research/company/jvs-imports-salary
4. https://rocketreach.co/jvs-wine-spirit-imports-email-format_b5f14142f910a705
5. https://rocketreach.co/jvs-wine-spirit-imports-profile_b5f14142f910a705
6. https://www.ttb.gov/media/64392/download
7. https://www.zoominfo.com/c/jvs-imports/369941391",,
561316,"DIVINE KUTS, INC.","1. https://www.ziprecruiter.com/Jobs/Before-And-After-School-Curly-Hair-Salon/-in-Acalanes-Ridge,CA
2. https://www.pa.gov/content/dam/copapwp-pagov/en/dli/documents/documents/non-compliance-lists/uc-non-compliance-list.pdf
3. https://www.treasurer.ca.gov/calsavers/meeting/2025/0820/10a.pdf
4. https://apps.hhs.texas.gov/providers/directories/HHA.xlsx
5. https://www.opentable.com/cuisine/best-steak-restaurants-antioch-ca",,
578076,BASELITE CORPORATION (DBA),"1. https://rocketreach.co/baselite-corp-profile_b5e6fdf1f42e59a3
2. https://www.zoominfo.com/pic/baselite-corp/15830963
3. https://rocketreach.co/baselite-corp-management_b5e6fdf1f42e59a3
4. https://www.datanyze.com/companies/baselite/15830963
5. https://inside.lighting/news/20w/how-big-your-favorite-lighting-co
6. https://labormarketinfo.edd.ca.gov/aspdotnet/databrowsing/empDetails.aspx?menuChoice=emp&empid=207751728&geogArea=0604000071
7. https://www.zoominfo.com/c/baselite-corp/15830963",,
867421,"PATHWAY, INC.","1. https://growjo.com/company/Pathway
2. https://rocketreach.co/pathway-inc-profile_b5c8ac34f42e35c6
3. https://www.zoominfo.com/pic/pathway-family-services-inc/365465417
4. https://www.indeed.com/cmp/Pathway-Inc/reviews?fcountry=US&floc=San+Bernardino%2C+CA
5. https://www.indeed.com/cmp/Pathway-Inc/reviews
6. https://www.grants.ca.gov/grants/opportunity-young-adult-career-pathway-program-grant-for-program-year-2024-25/
7. https://leadiq.com/c/pathways/5a1dacd02300005400a24482",,
1034921,"CLEANATION COMMERCIAL SERVICES, LLC","1. https://www.indeed.com/q-commercial-office-cleaning-l-orange-county,-ca-jobs.html
2. https://www.ziprecruiter.com/Jobs/Commercial-Cleaning-Services/--in-California
3. https://www.cleanation.com
4. https://www.mapquest.com/us/california/cleanation-commercial-service-403022036
5. https://anagocleaning.com/socal/orange/cleaning-and-janitorial-services/
6. https://www.servicemasterclean.com/servicemaster-by-obis/orange-county/commercial-cleaning/
7. https://www.cleanation.com/about.php
8. https://www.thumbtack.com/ca/orange/commercial-cleaning",,
1244639,"ROBINSON PRINTING, A DIVISION OF STEVEN LABEL","1. https://growjo.com/company/Steven_Label
2. https://www.stevenlabel.com/blog/steven-label-corporation-acquires-robinson-printing-inc
3. https://www.piworld.com/article/steven-label-acquires-robinson-printing/
4. https://www.zoominfo.com/c/steven-label-corp/100860123
5. https://www.datanyze.com/companies/steven-label/100860123
6. https://www.zoominfo.com/c/robinson-printing-inc/87491194
7. https://www.thomasnet.com/company/steven-label-298808/profile","1. https://rocketreach.co/robinson-printing-a-division-of-steven-label-profile_b5ea5f4ef42e7967
2. https://www.datanyze.com/companies/steven-label/100860123
3. https://www.zoominfo.com/c/steven-label-corp/100860123
4. https://www.stevenlabel.com/blog/celebrating-a-century-of-craftsmanship-and-dedication-robinson-printing-marks-its-100th-year
5. https://www.stevenlabel.com/company/about-us
6. https://bbs.fobshanghai.com/company/e160o085k6zs426.html
7. https://www.thomasnet.com/company/steven-label-298808/profile
8. https://www.labelandnarrowweb.com/breaking-news/steven-label-corporation-acquires-robinson-printing-inc/
9. https://www.stevenlabel.com"",
10. https://www.zoominfo.com/c/steven-label-corp/100860123"",
11. https://www.stevenlabel.com/company/about-us"",
12. https://rocketreach.co/robinson-printing-a-division-of-steven-label-profile_b5ea5f4ef42e7967"",
13. https://www.datanyze.com/companies/steven-label/100860123""",
1338522,"FOUNTAIN DAY SWIM SCHOOL, INC.","1. https://rocketreach.co/fountain-day-school-profile_b464cb36fc5d7e59
2. https://www.zoominfo.com/c/water-wings-swim-school/348431695
3. https://www.indeed.com/q-swimming-coach-l-la-porte,-tx-jobs.html
4. https://www.cityofcapegirardeau.org/departments/parks-and-recreation/aquatics/aquatic-programs/
5. https://www.fvs.edu
6. https://dat.maryland.gov/businesses/SiteAssets/Pages/default/LIST%20OF%20ENTITIES%20ENTITLED%20FOR%202026%20MARYLAND%20SAVE.pdf
7. https://www.vhparkdistrict.org",,
1835219,"L.A. T-SHIRT AND PRINT, IN (DBA)","1. https://rocketreach.co/la-shirt-printing-inc-profile_b46bb1d1fc5c928f
2. https://www.zoominfo.com/c/dtg-printing/453158278
3. https://www.datanyze.com/companies/la-shirt-printing/347844629
4. https://www.adp.com
5. https://www.zoominfo.com/c/la-shirt-printing/347844629
6. https://www.dallascowboys.com",,
2006563,M K T INNOVATIONS (DBA),"1. https://rocketreach.co/mkt-innovations-profile_b5fb6431f9c1aed5
2. http://www.mkti.com/employment/
3. https://www.indeed.com/cmp/Mkt-Innovations
4. https://www.indeed.com/cmp/Mkt-Innovations/reviews?fcountry=ALL
5. https://www.randstadusa.com/jobs/california/placentia/
6. http://www.mkti.com",,
2139440,HEARTBEAT AT 22 (A NON-PROFIT CORP),"1. https://www.indeed.com/q-heartbeat-at-22-l-palm-desert,-ca-jobs.html
2. https://www.ziprecruiter.com/c/Heartbeat-At-22/Job/Volunteer-Coordinator/-in-Palm-Desert,CA?jid=dd6f474a52391e44
3. https://lensa.com/job-v1/heartbeat-at-22/palm-desert-ca/volunteer-coordinator/5ba4af5d066dc0f7ed9b2cbe3850e595
4. https://givefreely.com/charity-directory/nonprofit/ein-454384613/
5. https://www.zoominfo.com/pic/heartbeat/387949600
6. https://www.causeiq.com/organizations/heartbeat-at-22-mamas-house,454384613/
7. https://www.snagajob.com/jobs/1161474140
8. https://www.wayup.com/i-j-Caregiver-House-Mother-Heartbeat-At-22-460031960607319/",,
2438272,"SOUTHERN CALIFORNIA DEVELOPMENT CORP OF VOLUNTEERS OF AMERICA, INC.","1. https://rocketreach.co/volunteers-of-america-profile_b5c658d9f42e0caf
2. https://www.voa.org/wp-content/uploads/2023/02/Volunteers-of-America-Inc.-and-Subsidiaries-AUD-06-30-21-FINAL.pdf
3. https://www.voa.org/wp-content/uploads/2024/12/Volunteers-of-America-Inc.-and-Subsidiaries-6-30-2024-Financial-Statements-FINAL.pdf
4. https://www.voa.org/wp-content/uploads/2023/03/Volunteers-of-America-Inc.-Financial-Statements-6-30-22.pdf
5. https://www.zoominfo.com/c/volunteers-of-america/558788034
6. https://projects.propublica.org/nonprofits/organizations/581917699/201743119349300724/full
7. https://voala.org
8. https://www.voa.org",,
2838762,"CODAR OCEAN SENSORS, INC.","1. https://rocketreach.co/codar-ocean-sensors-ltd-profile_b5c1246af42e0897
2. https://rocketreach.co/codar-ocean-sensors-ltd-management_b5c1246af42e0897
3. https://www.zoominfo.com/pic/codar-ocean-sensors-ltd/8684195
4. https://www.highergov.com/awardee/codar-ocean-sensors-ltd-10021417/
5. https://www.cbinsights.com/company/codar-ocean-sensors
6. https://www.datanyze.com/companies/codar-ocean-sensors/8684195
7. https://www.zoominfo.com/c/codar-ocean-sensors-ltd/8684195",,
2844890,CANYON VISTA CHILDREN LEARNING CENTER,"1. https://www.indeed.com/m/jobs?q=Early+Childhood+Education&l=Chatsworth%2C+CA
2. https://www.sierracanyonschool.org/community-links/employment-opportunities
3. https://www.mapquest.com/us/california/canyon-vista-children-learning-center-372150403
4. https://www.sierracanyonschool.org
5. https://www.nlacrc.org",,
2875204,PALM DESERT RESORTER ASSN. C/O: BOARD OF DIRECTORS,"1. https://opengovpay.com/employer/ca/palm-springs-desert-resort-communities-convention-and-visitors-authority/2020
2. http://pdrhoa.org
3. https://www.drminternet.com/about
4. https://www.zoominfo.com/c/palm-desert-resorter/451924647
5. https://newpdrhoa.fswp2.net/contact/
6. https://www.scpdca.com
7. https://www.sunandfungolfassociation.com/oregon-golf-adventure.html
8. https://www.theheldrich.com
9. https://copyrightsociety.org/event/2026-midwinter-meeting/",,
3269327,"CHATEAU LA JOLLA, A CALIFORNIA GENERAL PARTNERSHIP (PARTNERSHIP)","1. https://www.zoominfo.com/c/chateau-la-jolla/7684785
2. https://www.zoominfo.com/pic/chateau-la-jolla/7684785
3. https://www.seniorly.com/independent-living/california/la-jolla/chateau-la-jolla
4. https://assistedlivingmagazine.com/nursing-home/chateau-la-jolla/
5. https://www.caring.com/senior-living/california/la-jolla/chateau-la-jolla
6. https://chateaulajolla.com
7. https://www.aplaceformom.com/community/chateau-la-jolla-55302",,
4126421,THE BAY SCHOOL,"1. https://www.privateschoolreview.com/the-bay-school-profile/95062
2. https://www.zoominfo.com/c/the-bay-school/4113469
3. https://www.zoominfo.com/pic/the-bay-school/4113469
4. https://lookout.co/as-enrollment-falls-some-santa-cruz-county-school-districts-see-their-ranks-of-administrators-swell/story
5. https://projects.propublica.org/nonprofits/organizations/943313535
6. https://www.causeiq.com/organizations/the-bay-school,943313535/
7. https://www.mayinstitute.org/pdfs/NEW%20pdfs/Bay-School-Accountability-Report-Card_2025-26.pdf
8. https://www.mayinstitute.org/autism-schools/santa-cruz/about/our-school.html
9. https://www.ed-data.org/school/Santa-Cruz/Santa-Cruz-City-Elementary/Bay-View-Elementary",,
4750839,"ACC PRECISION, INC.","1. https://naicslist.com/company-profile/acc-precision-inc-oxnard-ca-93030
2. https://www.zoominfo.com/pic/acc-precision-inc/353668037
3. https://albmac.com/about/careers/
4. https://employnet.com
5. https://www.txdmv.gov/sites/default/files/body-files/Texas_Certified_Lienholders_List.pdf
6. https://www.zoominfo.com/c/acc-precision-inc/353668037
7. https://www.tendril.us/post/top-10-b2b-data-providers-for-sales-intelligence
8. https://www.in.gov/spd/benefits/files/2026-Dental-Booklet.pdf",,
